Graph profile, Command, UriPath
v1.0, Get-MgReportYammerDeviceUsageUserDetail, /reports/getYammerDeviceUsageUserDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityCount, /reports/getYammerGroupsActivityCounts(period='{period}')
v1.0, Get-MgReportYammerGroupActivityDetail, /reports/getYammerGroupsActivityDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityGroupCount, /reports/getYammerGroupsActivityGroupCounts(period='{period}')
v1.0, Remove-MgDeviceManagementReport, /deviceManagement/reports
v1.0, Update-MgDeviceManagementReport, /deviceManagement/reports
v1.0-beta, Confirm-MgAuditLogSignInCompromised, /auditLogs/signIns/confirmCompromised
v1.0-beta, Confirm-MgAuditLogSignInSafe, /auditLogs/signIns/confirmSafe
v1.0-beta, Get-MgAuditLogDirectoryProvisioning, /auditLogs/directoryProvisioning/{provisioningObjectSummary-id}
v1.0-beta, Get-MgDeviceManagementReport, /deviceManagement/reports
v1.0-beta, Get-MgDeviceManagementReportCachedReportConfiguration, /deviceManagement/reports/cachedReportConfigurations/{deviceManagementCachedReportConfiguration-id}
v1.0-beta, Get-MgDeviceManagementReportExportJob, /deviceManagement/reports/exportJobs
v1.0, Get-MgReportEmailActivityCount, /reports/getEmailActivityCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserCount, /reports/getEmailActivityUserCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserDetail, /reports/getEmailActivityUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageAppUserCount, /reports/getEmailAppUsageAppsUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserCount, /reports/getEmailAppUsageUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserDetail, /reports/getEmailAppUsageUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageVersionUserCount, /reports/getEmailAppUsageVersionsUserCounts(period='{period}')
v1.0, Get-MgReportGroupArchivedPrintJob, /reports/getGroupArchivedPrintJobs(groupId='{groupId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportM365AppPlatformUserCount, /reports/getM365AppPlatformUserCounts(period='{period}')
v1.0, Get-MgReportM365AppUserCount, /reports/getM365AppUserCounts(period='{period}')
v1.0, Get-MgReportM365AppUserDetail, /reports/getM365AppUserDetail(date={date})
v1.0, Get-MgReportMailboxUsageDetail, /reports/getMailboxUsageDetail(period='{period}')
v1.0, Get-MgReportMailboxUsageMailboxCount, /reports/getMailboxUsageMailboxCounts(period='{period}')
v1.0, Get-MgReportMailboxUsageQuotaStatusMailboxCount, /reports/getMailboxUsageQuotaStatusMailboxCounts(period='{period}')
v1.0, Get-MgReportMailboxUsageStorage, /reports/getMailboxUsageStorage(period='{period}')
v1.0, Get-MgReportOffice365ActiveUserCount, /reports/getOffice365ActiveUserCounts(period='{period}')
v1.0, Get-MgReportOffice365ActiveUserDetail, /reports/getOffice365ActiveUserDetail(date={date})
v1.0, Get-MgReportOffice365GroupActivityCount, /reports/getOffice365GroupsActivityCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityDetail, /reports/getOffice365GroupsActivityDetail(date={date})
v1.0, Get-MgReportOffice365GroupActivityFileCount, /reports/getOffice365GroupsActivityFileCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityGroupCount, /reports/getOffice365GroupsActivityGroupCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityStorage, /reports/getOffice365GroupsActivityStorage(period='{period}')
v1.0, Get-MgReportOffice365ServiceUserCount, /reports/getOffice365ServicesUserCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityFileCount, /reports/getOneDriveActivityFileCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityUserCount, /reports/getOneDriveActivityUserCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityUserDetail, /reports/getOneDriveActivityUserDetail(date={date})
v1.0, Get-MgReportOneDriveUsageAccountCount, /reports/getOneDriveUsageAccountCounts(period='{period}')
v1.0, Get-MgReportOneDriveUsageAccountDetail, /reports/getOneDriveUsageAccountDetail(date={date})
v1.0, Get-MgReportOneDriveUsageFileCount, /reports/getOneDriveUsageFileCounts(period='{period}')
v1.0, Get-MgReportOneDriveUsageStorage, /reports/getOneDriveUsageStorage(period='{period}')
v1.0, Get-MgReportPrinterArchivedPrintJob, /reports/getPrinterArchivedPrintJobs(printerId='{printerId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportSharePointActivityFileCount, /reports/getSharePointActivityFileCounts(period='{period}')
v1.0, Get-MgReportSharePointActivityPage, /reports/getSharePointActivityPages(period='{period}')
v1.0, Get-MgReportSharePointActivityUserCount, /reports/getSharePointActivityUserCounts(period='{period}')
v1.0, Get-MgReportSharePointActivityUserDetail, /reports/getSharePointActivityUserDetail(date={date})
v1.0, Get-MgReportSharePointSiteUsageDetail, /reports/getSharePointSiteUsageDetail(date={date})
v1.0, Get-MgReportSharePointSiteUsageFileCount, /reports/getSharePointSiteUsageFileCounts(period='{period}')
v1.0, Get-MgReportSharePointSiteUsagePage, /reports/getSharePointSiteUsagePages(period='{period}')
v1.0, Get-MgReportSharePointSiteUsageSiteCount, /reports/getSharePointSiteUsageSiteCounts(period='{period}')
v1.0, Get-MgReportSharePointSiteUsageStorage, /reports/getSharePointSiteUsageStorage(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageDistributionUserCount, /reports/getTeamsDeviceUsageDistributionUserCounts(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageUserCount, /reports/getTeamsDeviceUsageUserCounts(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageUserDetail, /reports/getTeamsDeviceUsageUserDetail(date={date})
v1.0, Get-MgReportTeamUserActivityCount, /reports/getTeamsUserActivityCounts(period='{period}')
v1.0, Get-MgReportTeamUserActivityUserCount, /reports/getTeamsUserActivityUserCounts(period='{period}')
v1.0, Get-MgReportTeamUserActivityUserDetail, /reports/getTeamsUserActivityUserDetail(date={date})
v1.0, Get-MgReportUserArchivedPrintJob, /reports/getUserArchivedPrintJobs(userId='{userId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportYammerActivityCount, /reports/getYammerActivityCounts(period='{period}')
v1.0, Get-MgReportYammerActivityUserCount, /reports/getYammerActivityUserCounts(period='{period}')
v1.0, Get-MgReportYammerActivityUserDetail, /reports/getYammerActivityUserDetail(date={date})
v1.0, Get-MgReportYammerDeviceUsageDistributionUserCount, /reports/getYammerDeviceUsageDistributionUserCounts(period='{period}')
v1.0, Get-MgReportYammerDeviceUsageUserCount, /reports/getYammerDeviceUsageUserCounts(period='{period}')
v1.0, Get-MgReportYammerDeviceUsageUserDetail, /reports/getYammerDeviceUsageUserDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityCount, /reports/getYammerGroupsActivityCounts(period='{period}')
v1.0, Get-MgReportYammerGroupActivityDetail, /reports/getYammerGroupsActivityDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityGroupCount, /reports/getYammerGroupsActivityGroupCounts(period='{period}')
v1.0, Get-MgReportEmailActivityCount, /reports/getEmailActivityCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserCount, /reports/getEmailActivityUserCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserDetail, /reports/getEmailActivityUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageAppUserCount, /reports/getEmailAppUsageAppsUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserCount, /reports/getEmailAppUsageUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserDetail, /reports/getEmailAppUsageUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageVersionUserCount, /reports/getEmailAppUsageVersionsUserCounts(period='{period}')
v1.0, Get-MgReportGroupArchivedPrintJob, /reports/getGroupArchivedPrintJobs(groupId='{groupId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportM365AppPlatformUserCount, /reports/getM365AppPlatformUserCounts(period='{period}')
v1.0, Get-MgReportM365AppUserCount, /reports/getM365AppUserCounts(period='{period}')
v1.0, Get-MgReportM365AppUserDetail, /reports/getM365AppUserDetail(date={date})
v1.0, Get-MgReportMailboxUsageDetail, /reports/getMailboxUsageDetail(period='{period}')
v1.0, Get-MgReportMailboxUsageMailboxCount, /reports/getMailboxUsageMailboxCounts(period='{period}')
v1.0, Get-MgReportMailboxUsageQuotaStatusMailboxCount, /reports/getMailboxUsageQuotaStatusMailboxCounts(period='{period}')
v1.0, Get-MgReportMailboxUsageStorage, /reports/getMailboxUsageStorage(period='{period}')
v1.0, Get-MgReportOffice365ActiveUserCount, /reports/getOffice365ActiveUserCounts(period='{period}')
v1.0, Get-MgReportOffice365ActiveUserDetail, /reports/getOffice365ActiveUserDetail(date={date})
v1.0, Get-MgReportOffice365GroupActivityCount, /reports/getOffice365GroupsActivityCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityDetail, /reports/getOffice365GroupsActivityDetail(date={date})
v1.0, Get-MgReportOffice365GroupActivityFileCount, /reports/getOffice365GroupsActivityFileCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityGroupCount, /reports/getOffice365GroupsActivityGroupCounts(period='{period}')
v1.0, Get-MgReportOffice365GroupActivityStorage, /reports/getOffice365GroupsActivityStorage(period='{period}')
v1.0, Get-MgReportOffice365ServiceUserCount, /reports/getOffice365ServicesUserCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityFileCount, /reports/getOneDriveActivityFileCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityUserCount, /reports/getOneDriveActivityUserCounts(period='{period}')
v1.0, Get-MgReportOneDriveActivityUserDetail, /reports/getOneDriveActivityUserDetail(date={date})
v1.0, Get-MgReportOneDriveUsageAccountCount, /reports/getOneDriveUsageAccountCounts(period='{period}')
v1.0, Get-MgReportOneDriveUsageAccountDetail, /reports/getOneDriveUsageAccountDetail(date={date})
v1.0, Get-MgReportOneDriveUsageFileCount, /reports/getOneDriveUsageFileCounts(period='{period}')
v1.0, Get-MgReportOneDriveUsageStorage, /reports/getOneDriveUsageStorage(period='{period}')
v1.0, Get-MgReportPrinterArchivedPrintJob, /reports/getPrinterArchivedPrintJobs(printerId='{printerId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportSharePointActivityFileCount, /reports/getSharePointActivityFileCounts(period='{period}')
v1.0, Get-MgReportSharePointActivityPage, /reports/getSharePointActivityPages(period='{period}')
v1.0, Get-MgReportSharePointActivityUserCount, /reports/getSharePointActivityUserCounts(period='{period}')
v1.0, Get-MgReportSharePointActivityUserDetail, /reports/getSharePointActivityUserDetail(date={date})
v1.0, Get-MgReportSharePointSiteUsageDetail, /reports/getSharePointSiteUsageDetail(date={date})
v1.0, Get-MgReportSharePointSiteUsageFileCount, /reports/getSharePointSiteUsageFileCounts(period='{period}')
v1.0, Get-MgReportSharePointSiteUsagePage, /reports/getSharePointSiteUsagePages(period='{period}')
v1.0, Get-MgReportSharePointSiteUsageSiteCount, /reports/getSharePointSiteUsageSiteCounts(period='{period}')
v1.0, Get-MgReportSharePointSiteUsageStorage, /reports/getSharePointSiteUsageStorage(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageDistributionUserCount, /reports/getTeamsDeviceUsageDistributionUserCounts(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageUserCount, /reports/getTeamsDeviceUsageUserCounts(period='{period}')
v1.0, Get-MgReportTeamDeviceUsageUserDetail, /reports/getTeamsDeviceUsageUserDetail(date={date})
v1.0, Get-MgReportTeamUserActivityCount, /reports/getTeamsUserActivityCounts(period='{period}')
v1.0, Get-MgReportTeamUserActivityUserCount, /reports/getTeamsUserActivityUserCounts(period='{period}')
v1.0, Get-MgReportTeamUserActivityUserDetail, /reports/getTeamsUserActivityUserDetail(date={date})
v1.0, Get-MgReportUserArchivedPrintJob, /reports/getUserArchivedPrintJobs(userId='{userId}',startDateTime={startDateTime},endDateTime={endDateTime})
v1.0, Get-MgReportYammerActivityCount, /reports/getYammerActivityCounts(period='{period}')
v1.0, Get-MgReportYammerActivityUserCount, /reports/getYammerActivityUserCounts(period='{period}')
v1.0, Get-MgReportYammerActivityUserDetail, /reports/getYammerActivityUserDetail(date={date})
v1.0, Get-MgReportYammerDeviceUsageDistributionUserCount, /reports/getYammerDeviceUsageDistributionUserCounts(period='{period}')
v1.0, Get-MgReportYammerDeviceUsageUserCount, /reports/getYammerDeviceUsageUserCounts(period='{period}')
v1.0, Get-MgReportYammerDeviceUsageUserDetail, /reports/getYammerDeviceUsageUserDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityCount, /reports/getYammerGroupsActivityCounts(period='{period}')
v1.0, Get-MgReportYammerGroupActivityDetail, /reports/getYammerGroupsActivityDetail(date={date})
v1.0, Get-MgReportYammerGroupActivityGroupCount, /reports/getYammerGroupsActivityGroupCounts(period='{period}')
v1.0, Get-MgAuditLogDirectoryAuditCount, /auditLogs/directoryAudits/$count
v1.0, Get-MgAuditLogProvisioning, /auditLogs/provisioning/{provisioningObjectSummary-id}
v1.0, Get-MgAuditLogProvisioningCount, /auditLogs/provisioning/$count
v1.0, Get-MgAuditLogSignInCount, /auditLogs/signIns/$count
v1.0, Get-MgDeviceManagementReportExportJob, /deviceManagement/reports/exportJobs/{deviceManagementExportJob-id}
v1.0, Get-MgDeviceManagementReportExportJobCount, /deviceManagement/reports/exportJobs/$count
v1.0, Get-MgReportDailyPrintUsageByPrinterCount, /reports/dailyPrintUsageByPrinter/$count
v1.0, Get-MgReportDailyPrintUsageByUserCount, /reports/dailyPrintUsageByUser/$count
v1.0, Get-MgReportEmailActivityCount, /reports/getEmailActivityCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserCount, /reports/getEmailActivityUserCounts(period='{period}')
v1.0, Get-MgReportEmailActivityUserDetail, /reports/getEmailActivityUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageAppUserCount, /reports/getEmailAppUsageAppsUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserCount, /reports/getEmailAppUsageUserCounts(period='{period}')
v1.0, Get-MgReportEmailAppUsageUserDetail, /reports/getEmailAppUsageUserDetail(date={date})
v1.0, Get-MgReportEmailAppUsageVersionUserCount, /reports/getEmailAppUsageVersionsUserCounts(period='{period}')
